UserID,UserName,Age,Gender,Email,TotalCoursesEnrolled,UniqueCategoriesEnrolled,AverageCoursesPerCategory,EnrollmentFrequency,TotalSpending,AverageSpending,Cat_Artificial Intelligence,Cat_Business,Cat_Cybersecurity,Cat_Data Science,Cat_Design,Cat_Digital Marketing,Cat_Finance,Cat_Machine Learning,Cat_Marketing,Cat_Programming,Cat_Project Management,Cat_Web Development,Level_Advanced,Level_Beginner,Level_Intermediate,AverageCourseRating,DiversityScore,LearningDepthIndex,Cluster
U00017,theresa55,24,Male,pachecojeremy@gmail.com,3,3,1.0,0.3020134228187919,963.18,321.06,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,4.65,1.0,2.0,0
U00018,nicole97,24,Female,aprilharrell@hotmail.com,16,9,1.7777777777777777,1.4285714285714284,1468.03,91.751875,3,0,2,2,1,1,2,3,0,1,1,0,4,7,5,3.108125,0.5625,1.4,1
U00019,rlawson,24,Female,kingjulia@gmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.51,1.0,1.0,0
U00020,evansmichael,27,Female,eharris@hotmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.88,1.0,1.0,0
U00021,autumn63,15,Male,julieestrada@hotmail.com,2,2,1.0,1.935483870967742,177.34,88.67,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,3.135,1.0,0.0,0
U00022,patriciaadkins,31,Male,thomas63@hotmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4.68,1.0,1.0,0
U00023,micheal78,32,Male,ashleymorris@yahoo.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.51,1.0,1.0,0
U00024,steven43,18,Female,petersonlori@yahoo.com,1,1,1.0,30.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.93,1.0,0.0,0
U00025,georgewhite,34,Male,jamesbradshaw@hotmail.com,4,4,1.0,0.5286343612334802,119.04,29.76,0,0,0,0,0,0,1,1,1,1,0,0,2,1,1,2.605,1.0,0.3333333333333333,0
U00026,andrew02,19,Male,jason57@yahoo.com,1,1,1.0,30.0,327.99,327.99,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.51,1.0,1.0,0
U00027,hunter32,31,Male,ronaldthomas@yahoo.com,2,2,1.0,0.7894736842105263,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2.915,1.0,0.0,0
U00028,zgomez,30,Female,rwhitaker@outlook.com,12,9,1.3333333333333333,1.2587412587412588,1012.66,84.38833333333334,0,0,1,1,1,1,3,1,1,2,1,0,4,5,3,3.015,0.75,1.0,1
U00029,hartmanjon,30,Male,nicole88@gmail.com,1,1,1.0,30.0,326.02,326.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.69,1.0,0.0,0
U00030,david76,34,Male,robert64@outlook.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.45,1.0,0.0,0
U00031,lovedavid,30,Male,fbooth@yahoo.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.2,1.0,1.0,0
U00032,veronica83,18,Male,andrea24@yahoo.com,1,1,1.0,30.0,285.05,285.05,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.96,1.0,1.0,0
U00033,rodrigueznatalie,25,Male,linda50@gmail.com,1,1,1.0,30.0,276.37,276.37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.72,1.0,0.0,0
U00034,ilopez,32,Female,scottwatts@yahoo.com,2,2,1.0,0.8108108108108109,248.1,124.05,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2.67,1.0,2.0,0
U00035,chernandez,32,Male,bryangilbert@yahoo.com,1,1,1.0,30.0,0.78,0.78,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.89,1.0,0.0,0
U00036,coxmichael,24,Female,leonardkimberly@hotmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3.85,1.0,1.0,0
U00037,lisabraun,31,Female,ericbrown@hotmail.com,2,2,1.0,0.2325581395348837,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1.985,1.0,0.0,0
U00038,williamselizabeth,35,Male,kpham@gmail.com,1,1,1.0,30.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.93,1.0,0.0,0
U00039,blackdanielle,16,Female,michaelfrederick@yahoo.com,1,1,1.0,30.0,346.71,346.71,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.23,1.0,0.0,0
U00040,briannamurphy,15,Male,ohobbs@gmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3.85,1.0,1.0,0
U00041,april65,19,Female,imccarthy@yahoo.com,2,2,1.0,4.285714285714286,326.02,163.01,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,3.5650000000000004,1.0,1.0,0
U00042,christopher62,32,Male,patrickterrance@outlook.com,1,1,1.0,30.0,89.59,89.59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.68,1.0,0.0,0
U00043,tommy21,31,Male,gordonhenry@hotmail.com,1,1,1.0,30.0,327.99,327.99,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.51,1.0,1.0,0
U00044,rileyapril,19,Male,wagnermichael@hotmail.com,1,1,1.0,30.0,299.57,299.57,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.74,1.0,1.0,0
U00045,rodneystevens,23,Female,mitchellwilliam@yahoo.com,14,9,1.5555555555555556,1.25,1209.79,86.41357142857143,0,1,1,1,0,1,2,2,1,1,4,0,3,6,5,3.375,0.6428571428571429,1.5,1
U00046,usimpson,29,Female,hmarquez@hotmail.com,2,2,1.0,0.3191489361702128,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1.325,1.0,0.5,0
U00047,westbrian,34,Male,lclark@outlook.com,1,1,1.0,30.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.6,1.0,0.0,0
U00048,willie71,19,Male,zgarza@hotmail.com,13,9,1.4444444444444444,1.270358306188925,356.89,27.45307692307692,0,0,2,2,3,1,0,1,1,1,1,1,4,6,3,3.329230769230769,0.6923076923076923,1.2,1
U00049,nclark,32,Male,thomaskenneth@gmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.45,1.0,0.0,0
U00050,rewing,33,Male,syoung@gmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.61,1.0,0.0,0
U00051,crystal12,32,Female,bonnie35@gmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.51,1.0,1.0,0
U00052,daniel48,25,Female,tweber@gmail.com,1,1,1.0,30.0,0.78,0.78,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.89,1.0,0.0,0
U00053,tara07,34,Female,bergertimothy@hotmail.com,1,1,1.0,30.0,53.86,53.86,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.47,1.0,1.0,0
U00054,jessicaparker,22,Female,rosslindsey@hotmail.com,1,1,1.0,30.0,490.9,490.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.55,1.0,1.0,0
U00055,hallandrea,31,Female,michelle73@gmail.com,16,9,1.7777777777777777,1.4035087719298245,1448.25,90.515625,2,1,1,0,3,2,1,0,3,0,2,1,9,3,4,3.055625,0.5625,0.3,1
U00056,vcrawford,22,Female,markfinley@gmail.com,2,2,1.0,0.9523809523809524,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2.745,1.0,0.5,0
U00057,thomasrobin,18,Male,cedwards@yahoo.com,1,1,1.0,30.0,487.92,487.92,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.64,1.0,0.0,0
U00058,egomez,30,Female,jimmymurphy@outlook.com,1,1,1.0,30.0,117.68,117.68,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.57,1.0,0.0,0
U00059,elizabeth16,32,Male,andersonmadison@gmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.51,1.0,1.0,0
U00060,albert28,26,Male,stephanie43@yahoo.com,4,3,1.3333333333333333,1.0810810810810811,53.86,13.465,1,0,0,0,0,0,2,0,0,1,0,0,0,3,1,3.515,0.75,3.0,0
U00061,vincent12,32,Female,yscott@outlook.com,1,1,1.0,30.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.91,1.0,0.0,0
U00062,howenathaniel,28,Female,tbrown@yahoo.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3.85,1.0,1.0,0
U00063,lisawong,34,Female,denise33@outlook.com,2,2,1.0,4.615384615384616,299.57,149.785,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,3.31,1.0,2.0,0
U00064,donnabarker,33,Female,gellis@yahoo.com,1,1,1.0,30.0,276.37,276.37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.72,1.0,0.0,0
U00065,michaelcurtis,29,Male,brownrobert@hotmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.67,1.0,0.0,0
U00066,wwest,26,Female,gomezkatherine@gmail.com,1,1,1.0,30.0,327.99,327.99,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.51,1.0,1.0,0
U00067,jessica24,28,Female,gardnerjohnny@hotmail.com,1,1,1.0,30.0,119.04,119.04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.75,1.0,0.0,0
U00068,marshmichelle,32,Male,mcoleman@outlook.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.45,1.0,0.0,0
U00069,gainesandrew,27,Female,woodashley@outlook.com,2,2,1.0,0.3157894736842105,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,3.67,1.0,0.0,0
U00070,mgonzales,25,Female,vwang@gmail.com,2,2,1.0,0.3870967741935484,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4.69,1.0,0.0,0
U00071,kevin94,30,Female,gonzalezchristine@hotmail.com,14,8,1.75,1.390728476821192,641.94,45.85285714285715,1,1,1,2,0,0,0,1,2,3,0,3,4,7,3,2.777857142857143,0.5714285714285714,1.4,1
U00072,hallanthony,17,Female,sharon51@hotmail.com,1,1,1.0,30.0,326.02,326.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.69,1.0,0.0,0
U00073,katie83,16,Male,lydia56@gmail.com,1,1,1.0,30.0,0.78,0.78,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.89,1.0,0.0,0
U00074,nunezapril,19,Male,hancocksteven@hotmail.com,3,2,1.5,0.5521472392638037,963.18,321.06,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,3.523333333333333,0.6666666666666666,3.0,0
U00075,hfarley,22,Male,torresshawn@hotmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.45,1.0,0.0,0
U00076,justinwatkins,34,Male,amyanderson@hotmail.com,4,4,1.0,0.6976744186046512,472.28,118.07,0,1,0,0,1,0,0,1,0,1,0,0,1,3,0,3.095,1.0,1.5,0
U00077,shannon49,20,Male,shane75@yahoo.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4.11,1.0,0.0,0
U00078,ahouston,32,Female,ashleywalker@outlook.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4.11,1.0,0.0,0
U00079,aburke,28,Male,stoutdylan@outlook.com,1,1,1.0,30.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.94,1.0,1.0,0
U00080,mortonandrew,35,Female,cindycox@yahoo.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.88,1.0,1.0,0
U00081,smithdanny,18,Female,martinrhonda@yahoo.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.52,1.0,0.0,0
U00082,susankidd,31,Male,jasonhicks@yahoo.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4.68,1.0,1.0,0
U00083,james92,16,Male,kconrad@gmail.com,15,9,1.6666666666666667,1.3353115727002969,1661.3,110.75333333333332,3,0,1,1,0,0,1,2,2,1,2,2,4,4,7,2.9953333333333334,0.6,0.8,1
U00084,xperez,20,Male,ericafrank@yahoo.com,1,1,1.0,30.0,327.99,327.99,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.51,1.0,1.0,0
U00085,scottluna,22,Female,adam86@yahoo.com,13,7,1.8571428571428568,1.0714285714285714,1149.12,88.39384615384614,1,0,4,0,1,0,2,0,0,3,1,1,3,7,3,2.9084615384615384,0.5384615384615384,1.75,1
U00086,nicole62,27,Female,anewton@yahoo.com,4,4,1.0,0.7407407407407407,53.86,13.465,0,1,0,0,0,0,1,0,1,1,0,0,2,1,1,2.47,1.0,0.3333333333333333,0
U00087,sjoseph,19,Female,jacqueline74@yahoo.com,3,3,1.0,0.9278350515463918,0.0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,4.506666666666667,1.0,1.0,0
U00088,tgarcia,23,Male,debrawilson@yahoo.com,1,1,1.0,30.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.64,1.0,1.0,0
U00089,austinspears,30,Male,browningjennifer@hotmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.73,1.0,0.0,0
U00090,sethchavez,34,Male,teresa45@outlook.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.45,1.0,0.0,0
U00091,joseph88,35,Male,owenspatricia@gmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.14,1.0,1.0,0
U00092,carl44,31,Male,sabrina47@yahoo.com,4,4,1.0,1.348314606741573,594.81,148.7025,1,0,0,1,0,0,0,0,1,0,1,0,2,2,0,2.7175,1.0,0.6666666666666666,0
U00093,sextonelizabeth,16,Male,thomas52@gmail.com,1,1,1.0,30.0,285.05,285.05,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.96,1.0,1.0,0
U00094,qtaylor,27,Male,vasquezdavid@yahoo.com,1,1,1.0,30.0,299.57,299.57,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.74,1.0,1.0,0
U00095,ojohnson,20,Male,chloe04@yahoo.com,1,1,1.0,30.0,248.1,248.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.2,1.0,1.0,0
U00096,wesley99,34,Female,xdavis@hotmail.com,4,3,1.3333333333333333,0.6349206349206349,0.0,0.0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,2,2.58,0.75,2.0,0
U00097,donnawilliams,25,Male,guzmanchristine@gmail.com,2,2,1.0,15.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2.095,1.0,0.0,0
U00098,sarah43,31,Male,natasha16@yahoo.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.45,1.0,0.0,0
U00099,wharrison,29,Female,robertsshawn@yahoo.com,1,1,1.0,30.0,299.57,299.57,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.74,1.0,1.0,0
U00100,swallace,32,Female,douglascampbell@outlook.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2.14,1.0,1.0,0
U00101,rosejames,15,Female,wilcoxrita@yahoo.com,1,1,1.0,30.0,89.59,89.59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.68,1.0,0.0,0
U00102,vweiss,32,Male,cherylking@yahoo.com,1,1,1.0,30.0,299.57,299.57,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.74,1.0,1.0,0
U00103,felicia29,30,Female,ssims@hotmail.com,1,1,1.0,30.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,1.0,0.0,0
U00104,diazsara,19,Male,mosschad@yahoo.com,1,1,1.0,30.0,53.86,53.86,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.47,1.0,1.0,0
U00105,smithjacqueline,27,Male,robinfranklin@outlook.com,1,1,1.0,30.0,299.57,299.57,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.74,1.0,1.0,0
U00106,sharonmurphy,19,Male,cathy60@yahoo.com,2,2,1.0,1.4634146341463414,57.32,28.66,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,3.4400000000000004,1.0,0.5,0
U00107,hayley84,18,Female,wwood@hotmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3.85,1.0,1.0,0
U00108,jowen,32,Male,jasonjordan@yahoo.com,2,2,1.0,0.2666666666666666,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2.965,1.0,0.5,0
U00109,amyschmidt,15,Female,alicia06@yahoo.com,14,10,1.4,1.386138613861386,869.77,62.12642857142857,0,1,1,2,2,1,1,0,2,2,1,1,3,8,3,3.157857142857143,0.7142857142857143,2.0,1
U00110,thorntondaniel,26,Female,kellywilson@hotmail.com,1,1,1.0,30.0,487.92,487.92,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.64,1.0,0.0,0
U00111,cynthia90,24,Male,kayla61@outlook.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2.14,1.0,1.0,0
U00112,williamswilliam,34,Female,qmiller@yahoo.com,14,9,1.5555555555555556,1.3636363636363638,565.8,40.41428571428571,1,0,1,3,2,1,2,0,2,0,1,1,5,5,4,3.165714285714286,0.6428571428571429,0.8333333333333334,1
U00113,becky55,19,Male,lclark@hotmail.com,1,1,1.0,30.0,346.71,346.71,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.23,1.0,0.0,0
U00114,lvasquez,22,Female,markwilliams@hotmail.com,1,1,1.0,30.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.38,1.0,0.0,0
U00115,mitchellswanson,32,Female,danielmathews@hotmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.73,1.0,0.0,0
U00116,schultzaustin,31,Male,psmith@outlook.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.52,1.0,0.0,0
U00117,kristin26,19,Female,megan10@gmail.com,13,9,1.4444444444444444,1.4942528735632183,1885.87,145.06692307692308,1,0,2,2,1,1,2,1,0,2,0,1,4,7,2,3.373076923076923,0.6923076923076923,1.4,1
U00118,morankevin,28,Female,marquezwilliam@hotmail.com,1,1,1.0,30.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,1.0,0.0,0
U00119,phillipsrobert,28,Male,wlee@yahoo.com,1,1,1.0,30.0,57.32,57.32,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.74,1.0,0.0,0
U00120,faguilar,15,Male,ashley54@gmail.com,2,2,1.0,1.7142857142857142,415.51,207.755,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3.215,1.0,1.0,0
U00121,htanner,27,Female,donaldbrennan@hotmail.com,2,2,1.0,0.3571428571428571,328.77,164.385,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2.7,1.0,0.5,0
U00122,derekgreer,21,Female,elizabeth42@gmail.com,2,2,1.0,0.2264150943396226,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2.895,1.0,1.0,0
U00123,richardsonjames,18,Female,dillonleslie@outlook.com,2,2,1.0,0.3468208092485549,356.89,178.445,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,4.24,1.0,0.5,0
U00124,christinagilbert,19,Female,brendanaustin@yahoo.com,2,2,1.0,0.3125,460.49,230.245,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2.175,1.0,0.5,0
U00125,michelle70,35,Female,simsbruce@yahoo.com,2,2,1.0,3.75,326.02,163.01,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,2.25,1.0,0.0,0
U00126,zhall,23,Female,juliecervantes@yahoo.com,14,7,2.0,1.2244897959183672,1084.57,77.4692857142857,1,0,0,2,0,3,0,3,1,0,2,2,4,7,3,3.457142857142857,0.5,1.4,1
U00127,brian60,34,Female,annablair@hotmail.com,3,3,1.0,0.7142857142857142,903.43,301.1433333333334,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,3.846666666666667,1.0,0.0,0
U00128,misty15,35,Female,thomasharris@yahoo.com,13,8,1.625,1.1403508771929824,1813.65,139.51153846153846,2,1,0,2,0,2,1,2,0,0,2,1,4,5,4,3.106923076923077,0.6153846153846154,1.0,1
U00129,sabrinawilson,19,Male,alvaradokevin@gmail.com,2,2,1.0,1.0714285714285714,415.51,207.755,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3.885,1.0,0.0,0
U00130,eherring,17,Male,joshua83@yahoo.com,1,1,1.0,30.0,248.1,248.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.2,1.0,1.0,0
U00131,chelsea48,19,Male,stephaniedougherty@gmail.com,1,1,1.0,30.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.15,1.0,0.0,0
U00132,kathysharp,22,Male,sean85@yahoo.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.13,1.0,1.0,0
U00133,mccarthyscott,21,Male,raymondthomas@gmail.com,14,9,1.5555555555555556,1.3725490196078431,828.33,59.166428571428575,1,0,1,1,1,0,1,0,3,2,1,3,5,6,3,2.830714285714286,0.6428571428571429,1.0,1
U00134,syoung,26,Female,kroy@gmail.com,14,8,1.75,1.2462908011869436,1438.21,102.72928571428572,0,2,1,2,2,0,3,2,0,0,1,1,6,4,4,3.3528571428571428,0.5714285714285714,0.5714285714285714,1
U00135,josephmichael,17,Female,clarknicholas@gmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.02,1.0,0.0,0
U00136,millerleslie,25,Female,william31@gmail.com,1,1,1.0,30.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.15,1.0,0.0,0
U00137,lawrencesanchez,15,Female,donaldtaylor@outlook.com,2,2,1.0,0.5454545454545454,460.29,230.145,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,3.705,1.0,0.0,0
U00138,sarafuentes,26,Male,ugonzales@gmail.com,2,2,1.0,0.2955665024630542,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1.87,1.0,0.5,0
U00139,qharrell,16,Female,daniel87@yahoo.com,4,4,1.0,0.3833865814696485,248.1,62.025,1,1,0,0,0,0,0,1,1,0,0,0,2,2,0,1.8275,1.0,0.6666666666666666,0
U00140,william81,24,Female,ewalker@hotmail.com,2,2,1.0,1.6666666666666663,53.86,26.93,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3.5650000000000004,1.0,1.0,0
